openalex_id,display_name,country_code,type,works_count
https://openalex.org/I51556381,University of Virginia,US,education,178179
https://openalex.org/I159176309,Universität Hamburg,DE,education,177701
https://openalex.org/I36234482,University of Bristol,GB,education,176429
https://openalex.org/I138689650,University of Padua,IT,education,176407
https://openalex.org/I219193219,Purdue University West Lafayette,US,education,176356
https://openalex.org/I130701444,Georgia Institute of Technology,US,education,175960
https://openalex.org/I126307644,University of Iowa,US,education,174333
https://openalex.org/I146655781,University of Liverpool,GB,education,173925
https://openalex.org/I193662353,Utrecht University,NL,education,173164
https://openalex.org/I181391015,Universidade Estadual de Campinas (UNICAMP),BR,education,171246
https://openalex.org/I879563668,Universidade Estadual Paulista (Unesp),BR,education,171077
https://openalex.org/I168635309,University of Calgary,CA,education,171022
https://openalex.org/I39422238,University of Illinois Chicago,US,education,168920
https://openalex.org/I145872427,Radboud University Nijmegen,NL,education,168802
https://openalex.org/I204250578,"University of California, Irvine",US,education,168355
https://openalex.org/I205349734,Hokkaido University,JP,education,166547
https://openalex.org/I202697423,University of Zurich,CH,education,166377
https://openalex.org/I55732556,Arizona State University,US,education,165417
https://openalex.org/I122411786,California Institute of Technology,US,education,165394
https://openalex.org/I19880235,Lomonosov Moscow State University,RU,education,164445
https://openalex.org/I126520041,University of Science and Technology of China,CN,education,164420
https://openalex.org/I130828816,University of Leeds,GB,education,164271
https://openalex.org/I7882870,University of Glasgow,GB,education,163689
https://openalex.org/I142263535,University of Nottingham,GB,education,163597
https://openalex.org/I87445476,Xi'an Jiaotong University,CN,education,163326
https://openalex.org/I118347636,Australian National University,AU,education,163009
https://openalex.org/I137902535,North Carolina State University,US,education,162574
https://openalex.org/I172675005,Nanyang Technological University,SG,education,162231
https://openalex.org/I91136226,University of Sheffield,GB,education,160682
https://openalex.org/I2738703131,Commissariat à l'Énergie Atomique et aux Énergies Alternatives,FR,government,160675
https://openalex.org/I154099455,Shandong University,CN,education,160613
https://openalex.org/I70931966,Université de Montréal,CA,education,159629
https://openalex.org/I58956616,Case Western Reserve University,US,education,158985
https://openalex.org/I98251732,McMaster University,CA,education,158533
https://openalex.org/I123387679,Uppsala University,SE,education,157888
https://openalex.org/I71999127,Universitat de Barcelona,ES,education,157842
https://openalex.org/I43439940,University of Southampton,GB,education,157302
https://openalex.org/I114531698,Tokyo Institute of Technology,JP,education,155690
https://openalex.org/I193775966,Yonsei University,KR,education,155059
https://openalex.org/I200719446,Vanderbilt University,US,education,155002
https://openalex.org/I881766915,Nanjing University,CN,education,154889
https://openalex.org/I100532134,Université Claude Bernard Lyon 1,FR,education,153860
