openalex_id,display_name,country_code,type,works_count,cited_by_count,ror_id,homepage_url,image_url
https://openalex.org/I99065089,Tsinghua University,CN,education,311653,7894102,https://ror.org/03cve4549,https://www.tsinghua.edu.cn,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Thu%20gate.JPG
https://openalex.org/I141945490,University of British Columbia,CA,education,306114,12139871,https://ror.org/03rmrcq20,https://www.ubc.ca/,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Irving%20K.%20Barber%20Library.jpg
https://openalex.org/I36258959,"University of California, San Diego",US,education,305792,16041132,https://ror.org/0168r3w48,https://ucsd.edu,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/University%20of%20California%2C%20San%20Diego%20logo.svg
https://openalex.org/I157725225,University of Illinois Urbana-Champaign,US,education,304474,12466349,https://ror.org/047426m28,https://illinois.edu,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/University%20of%20Illinois%20at%20Urbana%E2%80%93Champaign%20logo.svg
https://openalex.org/I130769515,Pennsylvania State University,US,education,302921,11026756,https://ror.org/04p491231,https://www.psu.edu,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Penn%20state%20wordmark.png
https://openalex.org/I204730241,Université Paris Cité,FR,education,300241,9365259,https://ror.org/05f82e368,https://u-paris.fr/en,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Coat%20of%20arms%20of%20the%20University%20of%20Paris.svg
https://openalex.org/I47508984,Imperial College London,GB,education,299296,12431690,https://ror.org/041kmwe10,https://www.imperial.ac.uk,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Imperial%20logo.png
https://openalex.org/I20231570,Peking University,CN,education,295388,6906534,https://ror.org/02v51f717,https://www.pku.edu.cn,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Peking%20University%20Logo.png
https://openalex.org/I76130692,Zhejiang University,CN,education,295333,5971847,https://ror.org/00a2xv884,https://www.zju.edu.cn,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Administration%20Building%20of%20Zijingang%20Campus.jpg
https://openalex.org/I183067930,Shanghai Jiao Tong University,CN,education,295140,5799097,https://ror.org/0220qvk04,https://www.sjtu.edu.cn,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/SJTU%20emblem%201940.jpg
https://openalex.org/I39804081,Sorbonne Université,FR,education,294939,9128419,https://ror.org/02en5vm52,https://www.sorbonne-universite.fr,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Upmc%20logo.gif
https://openalex.org/I129604602,University of Sydney,AU,education,284497,9386989,https://ror.org/0384j8v12,http://sydney.edu.au/,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/University%20of%20Sydney%20Main%20Quadrangle.jpg
https://openalex.org/I165779595,University of Melbourne,AU,education,280696,9822926,https://ror.org/01ej9dk98,http://www.unimelb.edu.au/,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Trinity%20college%20university%20of%20melbourne.jpg
https://openalex.org/I4210165038,University of Chinese Academy of Sciences,CN,education,280556,6594007,https://ror.org/05qbk4x57,http://www.ucas.ac.cn/,https://upload.wikimedia.org/wikipedia/commons/8/80/Gate_of_UCAS_Yuquanlu_Campus_%2820230906102500%29.jpg
